Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
0.010108791,313222,28075123,404744,260289,26274259,10425
0.020482319,279861,27870293,384297,231873,26881441,19645
0.030633556,282009,27888396,395911,254056,26460357,10457
0.040777741,319476,32151049,350287,279517,26315586,8188
0.050921587,325523,34398773,294103,269539,26313817,5797
0.061073185,333150,34585860,309818,257625,26779986,8597
0.07122818,402730,33920196,313284,258951,27145711,21900
0.081379793,424558,35697965,347692,139501,30417254,66300
0.091532935,400453,26658061,459113,105031,29489886,91049
0.101730282,599399,25021976,631789,158076,36220214,112822
0.111963633,259346,51748226,270633,204688,83196645,43972
0.122206303,92086,34076993,100369,118970,52577675,10326
0.132387867,139684,48361214,99342,135592,67455708,5590
0.142605913,155503,48069829,121534,138740,67937411,7572
0.152875767,272184,48754370,247248,218767,80391533,38057
0.163143805,321226,54714538,167383,202965,84109247,23485
0.173358877,741956,52521363,740379,232037,81032795,85412
0.18354769,617632,62518607,539747,168815,84887905,31162
0.193756479,505513,54724363,339159,172776,81181592,18037
0.203967329,668133,57194609,248345,126126,80493776,5129
0.214121245,710996,55504186,237022,130965,80327505,1775
0.224320338,526239,59004363,307967,140106,80296943,1841
0.234517339,484947,61222601,252901,125970,80735096,1453
0.244693376,380416,57540571,169006,140375,80465401,832
0.254870295,501621,57600975,316405,138384,79084703,1351
0.26506098,432994,56336858,230649,123312,75014794,2030
0.275256806,504303,59465464,271325,114443,76872787,1794
0.28544727,400199,60203014,217750,112420,76806758,1431
0.29564671,459214,62044994,272739,99892,76193169,2565
0.305855478,352334,81339537,298544,67682,74836170,5757
0.31607693,449797,80943967,347325,57635,76949803,4648
0.326306454,581950,70109519,517911,73700,76319608,9193
0.336535305,587735,69520574,481896,63634,76725099,6345
0.346769632,580694,69761547,456041,63128,76689298,4646
0.357000365,380420,83315431,373802,54962,75031621,7497
0.367252954,253482,85578574,276432,44489,71259100,7722
0.377505781,418847,67669702,551736,73525,63867604,13619
0.387791495,531590,64072570,579494,71988,70412011,10900
0.398046383,491003,61209530,453672,63323,66693141,6568
0.408354302,530898,67193209,429835,62603,72951275,4554
0.418591823,544195,67964335,436269,63665,74134694,5384
0.428845319,431043,71910797,379013,59886,70934135,4547
0.439085887,324957,83114332,266761,52115,72863243,4150
0.449318966,417841,74847318,354204,64825,71953780,4468
0.459580524,542660,66707226,521015,69322,72963945,7895
0.469816968,526300,68145736,413080,62459,73500813,3068
0.480072917,494226,71925268,382196,59091,74190385,3511
0.490313035,180492,92724472,211350,41598,71464175,5225
0.500561817,338345,82906545,333508,66107,72023742,6530
0.510827587,400612,78214087,384261,61365,71542980,9624
0.521086884,540802,68587592,426258,68896,72727750,9443
0.531319112,536949,68809205,358916,60099,73485366,3899
0.541555688,542971,69062810,367892,60854,73812429,3192
0.551786768,542040,68840074,366348,61105,73717838,3375
0.562028418,435073,73499299,354135,58945,71603525,4922
0.572280532,406932,77021296,300533,60366,72510567,3662
0.582533058,542419,69232769,414667,69256,73361481,7324
0.592784618,508268,64101481,400811,64609,69646318,5109
0.603018874,540184,68950478,354543,60123,73427945,3102
0.613265385,337251,77782495,310642,46686,73568306,4093
0.625819798,424743,99561397,368789,78569,88950726,6744
0.636088862,340713,84561309,336793,54161,68112547,11393
0.646358393,530041,68049823,432617,71535,72476054,8950
0.656597083,516840,65358733,398383,64742,71478398,4250
0.666845331,476834,57972948,497257,58255,63034012,4612
0.677108748,501423,62086246,451669,65711,67435584,7290
0.68739024,516864,68116026,399141,69491,72647811,6714
0.697635535,352976,70030522,297106,51349,65557821,3593
0.707871666,409497,76966635,288485,57925,72550381,3267
0.718122112,525757,66441142,429857,69834,70961727,8943
0.728388349,540965,69042207,372840,62597,74072533,3971
0.738678327,391047,73705152,322134,55028,72668847,5646
0.748918714,309525,78439858,249411,41641,73646713,2546
0.759171324,274241,83916246,256765,51502,70916323,5448
0.769423793,319664,80250450,346360,58139,66976199,11613
0.779675566,511963,68436700,347331,68798,73418565,4851
0.789912972,528206,68210145,437724,65067,73473742,9510
0.800170407,472135,62976874,361351,59750,68009871,4300
0.810401373,512311,67590431,367925,60834,73003485,3808
0.82064062,527883,69177244,375037,60146,74198878,2931
0.830964129,424744,76955279,310602,58059,74177444,4479
0.841200745,363927,79191591,267607,53762,72563348,2732
0.851446294,532055,68910855,442154,68929,73639802,8967
0.861708649,462869,71451124,361485,59727,74016933,5057
0.871944494,367281,75302987,316334,49637,73612676,2794
0.882242655,394645,79871805,363021,62261,74029385,7572
0.892551146,256615,88687410,229624,43470,73284562,3710
0.902789016,422147,66185726,467089,66128,62642211,13784
0.913046225,450020,66301034,392566,62322,65727391,5032
0.923283325,520935,68844841,407510,66012,74224780,4802
0.933524443,514483,68097403,399742,62236,73531739,3244
0.943761847,517123,69634513,371108,60278,74605228,2678
0.954019903,463495,72240160,368677,59902,73437586,4049
0.964258353,370912,78173451,276800,56476,72208354,3399
0.974501017,522346,69256832,424361,67849,73787109,7268
0.98474247,321841,79155720,354009,46443,74861547,3853
0.994990136,347086,68868210,354602,57550,66311479,7027
1.005263534,477292,63417198,458288,68048,68002004,8854
1.015511907,363984,79876200,320534,54949,73600736,3840
1.025763531,304829,83364906,287306,47335,72802928,2956
1.036008086,367851,78646254,417157,70133,69784949,12204
1.046273592,537694,69105771,408513,66222,74413386,5961
1.056506339,531797,68327140,403717,62227,74266368,3313
1.066733435,529022,68571521,375110,58218,74207590,2861
1.077049048,538201,69469663,393285,63008,75415567,4066
1.087290898,457795,73989758,353683,59405,73726345,4474
1.097533855,359663,79965587,284753,52245,72906505,3299
1.107759379,290068,77022383,326958,51150,71248976,7025
1.121413681,272827,73988322,265149,48004,67607097,4661
1.131685901,392816,56410256,319558,62843,58575560,7826
1.141972416,537538,67658745,498458,68993,73768514,8445
1.155822539,511017,108344332,387329,74917,100293418,6116
1.166066889,305132,83757514,349073,61973,71635053,9796
1.176333379,516372,69442995,415753,67753,73962526,9135
1.186601102,504877,67498677,388058,64587,73465103,4675
1.196848431,502552,66267642,413252,63815,72365075,3457
1.207082153,511952,69033477,369652,60891,74278740,2773
1.217304226,435670,58993523,365463,50881,63428503,2610
1.227535623,303594,72547719,271154,51889,65709293,3778
1.237778626,295739,83200379,236360,46882,72483724,1727
1.248034344,504434,69408030,420682,71255,73386803,8296
1.258290116,368746,77481475,322724,55233,72567429,6454
1.268534444,411781,74956147,363958,64040,72504799,6612
1.27878843,349403,80538386,303415,55964,72952161,6026
1.289017708,301116,84958332,279553,55982,72601358,5305
1.29925974,553126,67336800,539688,73548,72333047,12925
1.309510225,529769,68420367,363164,61641,74279005,3678
1.319769711,484650,63764033,356362,55261,68532550,2907
1.330025146,527565,68055655,368524,65814,73824865,3587
1.340257932,530311,68737235,367393,61387,74058581,2834
1.350501684,485326,72095234,354347,61309,74372611,3418
1.360729194,314672,83309127,250277,50404,73038642,3087
1.370995606,482709,70125097,370428,69699,72998347,5173
1.381246411,546173,70085018,421023,63991,74846546,7338
1.391485238,382580,78957133,298009,53209,73008305,4224
1.401719323,251551,88448297,281067,55496,72621414,6325
1.412842828,477422,81061534,396253,74086,79347750,8603
1.423091993,334538,68010209,294107,46024,62936546,7378
1.433338519,344087,41016666,492655,52797,43976122,14940
1.443598608,519655,63917904,483847,70247,70685991,5534
1.453850914,516371,67342195,369368,60824,73229462,3600
1.464120892,530012,69348862,354968,59811,74566380,2693
1.474394166,529944,69199619,369677,60041,74279854,3008
1.484658062,514993,66319976,387901,61488,71817990,5124
1.494912804,366403,79473660,274043,54319,73078258,3656
1.505237449,422577,75557732,342696,66184,73062006,3766
1.515486045,487651,72405454,393376,60756,73996927,7614
1.527083652,264306,97105140,267391,49090,79005602,4529
1.537357733,288156,86580729,257325,54418,72782961,4284
1.547611698,386805,79390563,372022,62266,72546261,11466
1.55785621,321925,82187713,251919,49283,72608204,3086
1.568120461,505230,70942825,399929,70419,73294385,8026
1.578379071,519605,68265222,359963,60331,73971025,3782
1.588726886,511885,67334435,370449,58345,72815320,3110
1.599155192,491342,62770129,431035,67045,69077067,6014
1.609605611,542664,69934193,399224,63912,75245078,3801
1.619875312,364222,80025688,293539,52231,73164415,4500
1.630802158,508977,72402290,421683,77417,75763208,5552
1.643851112,642994,83162775,522108,77889,89111273,8789
1.654105044,367403,80036495,287395,53056,73348488,4038
1.664943826,334121,78954587,276042,55126,69318292,6969
1.675206528,378467,45266853,424996,60669,48513204,18559
1.685481501,395401,49757295,426066,60161,54086983,8381
1.69575178,321345,78851912,295409,53269,69710661,6448
1.706010232,511848,66785771,432928,70958,70500402,10083
1.716292203,528413,69129025,364163,61029,74528460,3771
1.726535443,469415,66234404,373348,59224,65448776,18658
1.737283795,394136,65516824,329095,56239,60230825,2816
1.747484965,371191,66446691,261943,55292,58062750,2177
1.757739911,379081,65453229,295530,55251,58022143,6230
1.767925305,259020,34732666,281722,36748,30965547,41003
1.778122356,117803,23339939,213823,19531,19353993,2314
1.788289554,90339,19829060,94715,14901,13040269,15245
1.839444417,4308,107625,10268,2128,435933,1964
1.845325829,120250,4852437,156202,21592,5221964,29353
