Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     0.500191861,29803479,3770889114,20113523,6261362,3949687933,903639
     1.000511550,23507276,3734211917,16517657,2681467,3493063051,305350
     1.500801379,22865287,3793529116,17056840,2730106,3494149894,321428
     2.001084633,22193056,3923128297,16123384,2748430,3585757264,337216
     2.501363992,24094951,3913066818,15709447,2831170,3665570664,342501
     3.002456888,23025824,3953061040,16260498,2747107,3612576435,344325
     3.502718318,23772903,3828867252,17422153,2825452,3575881213,328922
     4.002995120,23234589,3831880043,16251993,2754368,3576784042,316495
     4.503248921,24377863,3938675660,16118665,2794089,3676524499,337281
     5.005171068,24524181,3891171617,17336595,2831925,3655707624,373561
     5.506064046,23204727,3861504417,17466523,2763034,3566431178,307043
     6.006357787,22423389,3962335605,15785351,2750557,3643556975,305557
     6.506641592,23882072,3919474836,15535207,2706119,3653344025,309597
     7.006917213,23094815,3900294641,15738901,2667295,3655621527,313851
     7.507498523,22175567,3867120203,16466978,2663072,3592900409,340993
     8.009701404,23108480,3983998188,16066762,2770160,3638861026,331846
     8.509974575,22764295,4018657249,15702932,2721013,3667411730,328860
     9.012528175,22444016,3986387310,15919067,2667160,3625298254,327785
     9.512802089,21967359,3892757158,16620569,2665818,3542323428,316746
    10.014937093,23080508,3985763120,16491903,2733751,3668317887,348687
    10.515223900,22039161,4085838651,14482115,2681800,3670928808,324068
    11.016917178,23176188,3974280129,15888013,2652217,3651709337,333144
    11.517189716,22288052,3885950019,16727733,2690929,3519597070,322278
    12.017686347,21919495,4036284183,15901347,2797529,3638695639,327240
    12.518059765,23715461,3957726649,15878072,2719400,3689645782,343427
    13.018334841,23090908,3915188631,15551492,2633185,3636943801,335510
    13.518604421,21917350,3897506634,16022849,2644924,3540769904,335678
    14.018890796,22834633,3928204680,15558337,2685375,3628070532,344139
    14.519162032,21717262,3995591812,15070963,2621858,3666202961,332834
    15.021341080,22561754,3913527346,16098035,2791170,3629749284,356788
    15.521623049,23092746,3785350983,16813963,2745802,3555630807,316732
    16.021926460,22193267,3967072734,14938298,2731236,3663185391,348095
    16.522207911,22546912,3967054548,15398729,2772218,3664843100,329345
    17.022497189,22163694,3982886543,15293606,2775573,3668700876,337673
    17.522779403,22215159,3914545859,16345042,2759700,3581257633,306183
    18.023057827,23577844,3933266541,15969744,2902874,3679091866,338108
    18.523341286,22631515,4054572912,14796764,2745093,3699660678,340153
    19.023913285,23076733,3953288063,15421692,2749604,3649749602,356529
    19.524191808,22900561,3884990433,16527922,2786675,3601854001,321485
    20.026471002,22187615,4020742456,15449617,2727551,3628737117,339286
    20.526754968,22715603,3989398637,16077206,2768655,3650511462,348686
    21.028700123,23099449,3925402622,15670405,2771880,3655408444,339995
    21.528990986,22026806,3806592904,17008293,2741509,3547736644,356943
    22.030078735,22486643,3942287430,16061666,2750598,3624578845,340815
    22.530349694,22686094,3855356879,16759270,2720815,3575664586,351718
    23.030621507,23470794,3922332315,15709756,2752652,3661653651,334423
    23.530895294,21868362,3784325405,16629264,2651645,3502436240,340825
    24.031159426,22893687,3947925107,15726612,2711804,3648162730,344708
    24.531433734,23806519,3968940301,15594815,2730765,3681236210,326597
    25.034875087,22341652,4010251950,16233925,2696894,3629794226,341199
    25.535148994,23241970,3951492122,16210796,2768072,3623881332,329377
    26.035419749,22569378,4038422046,15516991,2712103,3672070134,326873
    26.535704566,23018669,4007439456,16145336,2735971,3655960053,338093
    27.035977226,21731628,3719826707,16697496,2676520,3435443201,369999
    27.536254154,22994889,3969948282,15933309,2801181,3668885030,342306
    28.036532100,23077840,3976822839,15121867,2725077,3670302785,326707
    28.536817316,23120809,3983341036,15652714,2736904,3698508444,305059
    29.037082709,23245687,3985429714,15335898,2723858,3675063417,329516
    29.537365093,23625765,4012836067,15936696,2792502,3711665796,334871
    30.037647324,23224372,3999419183,15391045,2709726,3700600901,323050
    30.537938392,23165441,3915642051,15366053,2724254,3665272807,328627
    31.038220524,23474086,3996974963,15646253,2775617,3682757666,294627
    31.538520975,23732860,3972789194,15937807,2818453,3674159008,334623
    32.038809778,24421715,3897652499,15489331,2826193,3679803231,346783
