Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     0.040106833,1230019,119137931,1543702,1047898,108573955,60889
     0.080309270,1558319,146093456,1313138,932929,115620663,94217
     0.120534741,2418103,156813272,2344450,719567,251513667,443845
     0.160749732,2913240,276952932,1168780,731623,388495400,57753
     0.200946841,3113511,226764716,1534258,551891,322434842,39088
     0.241150432,2652500,321297105,1265758,633150,402489978,28854
     0.281358250,2036541,409343372,1746824,324195,372530279,46641
     0.321582050,2851933,407777313,2113515,349626,406159332,48608
     0.361806895,2442593,440214819,1567412,286424,410223390,28172
     0.402023736,1647752,449298178,1512477,274321,371492894,36706
     0.442331223,2633082,416578526,1598725,312190,391519432,30925
     0.488499667,2204010,465098702,1706992,303540,411192971,50903
     0.528691517,2519666,404714060,1837826,303530,379008811,36508
     0.568920524,1820299,384688271,1572278,237806,342506877,36892
     0.609165279,1860860,298662572,1960363,237943,280157039,36165
     0.649543307,1913204,328008704,1257190,234606,307545315,23456
     0.689929737,1923364,298066246,1263121,242575,287949599,26283
     0.730478685,1750614,293075044,1086039,209398,272858465,26249
     0.770753502,1720357,299939549,1145409,221272,280582087,24714
     0.811080974,1833409,271748508,1312509,211202,265078370,25649
     0.851360628,1702142,304674975,1177709,217648,278713045,27145
     0.891641575,1888830,273462624,1261628,228985,272355032,28228
     0.931936433,1645133,254895423,1099890,175079,243266251,17656
     0.972228652,1472052,305989587,1087357,217698,269181666,31578
     1.016544574,1835446,300886804,1334926,231258,288011872,24046
     1.056824444,2022890,257366407,1360067,221653,266572540,21312
     1.097101601,1270319,310618806,1071815,204753,263326309,27985
     1.137489079,1745072,278341231,1123877,213141,269437156,19793
     1.177764939,2008701,255609006,1404631,245125,266855919,22691
     1.219746846,1587815,310010474,1119610,215447,279700569,23348
     1.260040824,1897668,286291107,1171805,231332,279163352,26006
     1.300324235,2051287,272591303,1315373,235000,279939776,17850
     1.340623249,1564307,303888789,1086484,205260,275071937,16686
     1.380904886,1491296,313874471,1128163,202650,279814328,26205
     1.421213676,2037888,274038814,1330439,228938,280571149,22974
     1.461482977,1694381,288973851,1187908,202504,271924206,20110
     1.501764052,1262086,331940358,1058483,206109,279114215,28117
     1.542067614,1959394,264325726,1324735,226714,270487317,18998
     1.582344182,1968973,277700054,1264778,220283,279354111,15494
     1.622735107,1191572,325673526,1063079,199639,269787079,23989
     1.663113327,1860577,273717437,1428517,234665,268052151,29432
     1.703390858,2060695,273899962,1377627,216648,280921614,15213
     1.743670114,1340723,307123923,1104809,205407,266801154,23235
     1.787787560,1937763,314656413,1499563,254534,300401962,35772
     1.829153662,2098172,271611586,1417916,240699,283260356,22072
     1.869539505,1177330,312635364,1015442,198851,261714267,23920
     1.909806996,1826442,260279104,1595954,217771,260614112,28198
     1.950081950,1853879,283506012,1358759,230783,278557636,19093
     1.990361476,1649527,305299129,1211127,226997,284114078,23902
     2.030641212,1890392,290740476,1335223,236631,289827221,18317
     2.070922829,1651614,288734019,1315921,216607,272156221,23372
     2.111305643,1698565,306754508,1227166,217442,288830981,18961
     2.151580112,1672064,303926339,1168352,223397,286769638,21658
     2.191859995,1768194,290266215,1272436,220295,278970295,20099
     2.232152701,1785739,268887541,1468356,228370,267292777,31236
     2.272426690,1707094,294537991,1224798,221402,277807594,22834
     2.312704644,1816603,299211015,1279346,221207,286144036,25713
     2.352976323,1839384,295900177,1223697,216651,287412407,21620
     2.396081675,1890650,295705313,1254519,226422,291276142,22903
     2.438509411,1564579,337238425,1182406,233657,297220726,31683
     2.478774490,1562767,235726289,1595543,217492,234839747,31209
     2.519045290,1983462,262318298,1437110,248662,276068898,18559
     2.559464478,1360715,330163525,1164264,222204,282309889,32715
     2.599726132,1644251,238339045,1698992,207369,237040278,26345
     2.640021642,1990408,248486876,1722645,221257,261180413,17815
     2.680380101,1312645,316366965,1064732,196738,277139146,21144
     2.720631921,2044091,264984691,1324664,241367,272095427,28145
     2.760884281,1946778,286624701,1249473,224024,283690770,18942
     2.801157647,1221736,321281155,990389,188065,275764150,18614
     2.841430306,2104425,274794437,1384023,251680,285211743,26178
