Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
0.040109304,1259935,121633956,1583409,1082555,110211624,60242
0.080304752,1519955,148547318,1303191,917606,118497404,108318
0.120534698,1719819,113958475,1768472,526437,189585153,287380
0.160769643,2856755,333874964,1462080,601303,389276000,19092
0.200959154,1940135,351226215,774627,589106,370110979,12080
0.241178038,1885996,336796461,1193571,368981,281644588,26422
0.281367187,1613430,273903799,1075559,207352,216158902,18733
0.321529729,1647773,263345169,1059576,192418,215773691,15749
0.361722735,1282150,401646307,1238011,226394,216534609,16810
0.401918419,1253962,417535938,1075124,225258,215911376,14152
0.442110086,1279819,414257093,1086688,229769,215848288,15626
0.482303373,1320501,399079433,1298259,230154,215561248,20599
0.52249674,1299443,413104626,1134180,239530,215744460,16821
0.562692968,1312107,405511703,1226332,242603,215726011,16613
0.602891553,1240125,413396603,1107594,237254,215426846,17453
0.643084076,1296896,403243329,1192688,240890,215532702,19555
0.68328211,1412873,353969293,1035684,224541,214641228,16212
0.72348016,1260135,413702068,1103495,234461,215841044,16123
0.763681049,1606940,271574936,1054013,204970,216523419,21302
0.803848455,1302749,396291599,1097403,239869,215079522,16855
0.844038701,1277906,408751779,1071401,233241,215405411,15422
0.884229362,1293083,407981324,1125825,229415,215542797,17848
0.92443131,1331272,413351383,1072451,229417,215470858,12991
0.96462612,1321623,411403136,1147297,241440,216269182,18638
1.004820291,1345292,407509899,1172338,234366,217819793,17725
1.045004576,1293552,409091818,1148216,257384,216726522,20792
1.08519959,1303765,390761145,1098179,212775,214729786,16933
1.125388088,1368966,408738514,1275746,247515,218967433,22954
1.165577152,1306847,409397113,1125363,227201,215599131,13235
1.205778722,1236728,389804973,1094434,216481,206793275,14668
1.245972072,1202245,356763656,1079523,207734,189629551,16379
1.286186239,1069576,339280260,956764,194101,178535843,12187
1.326399942,1018734,336438301,887271,177510,174358003,12252
1.366708323,1058937,329469767,939739,195492,172167902,11212
1.406952114,1041573,314994591,898106,177694,167997572,13678
1.447166043,1035164,319707264,904427,195516,168864586,14470
1.487372867,995592,321293164,873131,186919,168770544,13970
1.527587273,1113609,255309712,766543,158074,167316924,11101
1.567777076,1054996,326374118,932503,195242,174889522,15558
1.607988776,1011124,328294941,872242,186157,171701317,10195
1.648203386,1044102,325868767,847458,195613,170244969,13912
1.688425051,1201775,251662573,790355,170685,170350337,13545
1.728624087,1266270,244377619,728848,164597,178267495,10913
1.768818928,1238174,256630377,1373003,167874,175172976,18427
1.809048053,1066574,321723453,1021295,193880,175164004,14810
1.849254155,1057064,319329720,996146,186483,175230786,16854
1.889465105,1160272,258820494,1827555,147405,168667677,20659
1.929672283,1043379,297094827,1082440,176897,165370389,12487
1.969878595,1050181,323774329,915282,190151,170937348,15147
2.010080756,1045649,324731730,904367,189213,170654957,15258
2.05029259,1080424,316826559,1004873,192866,171747500,16804
2.090530312,961966,323431394,832851,175818,167790973,7593
2.130694659,1083685,287563159,1158773,181531,170344606,17661
2.17090063,1167498,252975556,780404,166008,171329622,11208
2.211128744,1060255,330574878,973657,206462,175317156,16465
2.251329314,1127670,323505736,1066049,196780,175222878,17871
2.291540925,985273,330661251,940820,177281,172043363,9968
2.331747219,1078232,295021189,905629,190853,172351278,16600
2.372026046,1132703,256303647,784975,161218,172295205,10619
2.412238506,1034721,326039526,974241,190359,175288443,14014
2.452442685,1077212,325714406,974306,195393,175881723,15555
2.492648119,1035419,323084308,1026114,181916,171871431,11029
2.532867463,1046720,330748830,946784,185747,174313470,14772
2.573081901,1082470,309630421,970416,190111,170491159,16681
2.613298122,998072,325110764,819838,177229,167289029,9954
2.653527766,1053124,316865830,985223,190175,170177466,15236
2.693730629,1087982,290462944,893415,185890,170683636,17426
2.73392586,1388987,191681538,798159,141170,175831609,7805
2.774146511,1330153,246457781,1051400,165917,182720433,15320
2.814331468,1181368,334886991,1010136,209312,186494867,14196
2.854547947,1103020,338367674,987250,206829,180259005,11345
2.894774879,988437,333563616,880652,179846,174090267,12199
