Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     1.500135537,19415762,6793880483,19128786,6642555,4525344655,260779
     3.000410330,20371275,6771630778,20776126,4863653,3974637851,194416
     4.500558198,20326386,6818254605,20708037,4833774,3984556832,188004
     6.000764977,19952359,6844969315,19250802,4895676,3978097224,184870
     7.500927113,20100077,6716824125,19745232,4807351,3966680433,200816
     9.001086212,19837244,6809613660,19471186,4848423,3980945935,184957
    10.501236465,20031722,6783126846,19839461,4812388,3977609921,175826
    12.001416047,19763787,6853447650,19104750,4797935,3976501332,170544
    13.501581371,19433290,6838105185,19225838,4856150,3976042641,197870
    15.001738077,19720033,6820998157,19499454,4885078,3971601744,187137
    16.501913277,20084257,6841866618,19062593,4829207,3984112310,176292
    18.002101741,19683932,6873694609,18801101,4902402,3980612893,179752
    19.502272835,20125927,6789585190,19489860,4849196,3979353158,193037
    21.002461013,19790616,6846189839,18859316,4844100,3974222584,184839
    22.502615746,19650858,6848983397,19386601,4899080,3980782804,189184
    24.002791641,19255550,6860088976,19048711,4870324,3964363987,184018
    25.502970597,19546084,6822125911,19517455,4826041,3984131960,202561
    27.003127426,19845513,6801432401,19816812,4818526,3972831214,194134
    28.503307095,19338574,6854729299,18755291,4824612,3974936290,173761
    30.003468031,19530195,6807774781,19415830,4796480,3972036911,173110
    31.503628952,19395885,6830388066,19097515,4837900,3990141335,188996
    33.003827238,19510257,6801058965,19280522,4794915,3974324978,190407
    34.503984398,19515518,6855431139,19037699,4854182,3980708762,186268
    36.004167237,19447476,6818816100,18902805,4851188,3974113970,191087
    37.504315324,19360818,6811087505,19282433,4883776,3980651400,200518
    39.004485665,19625881,6831840100,18938807,4875640,3973069862,199650
    40.504657788,19939569,6806560538,20061793,4846346,3987469285,183864
    42.004814342,19715001,6833997457,19303979,4850968,3976106385,181207
    43.504969828,19831323,6841828751,19392768,4774221,3988893611,207903
    45.005134119,19598907,6805281674,19510574,4828418,3983180550,191223
