Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     0.500129251,6843217,2202651998,7900069,3575066,1997130512,109308
     1.000312341,6316178,2031588862,7807207,1622160,1322327710,46887
     1.500492112,6120885,2039912975,6933406,1587672,1323564699,48158
     2.000645039,6818021,1972163839,8826543,1631680,1329168498,66417
     2.500826936,6544010,2009974253,7966371,1587871,1326239355,51094
     3.000985679,6452944,2017795651,7746648,1612346,1324215225,51857
     3.501170457,6175963,2046323123,7225451,1601746,1327578536,51191
     4.001327528,6684623,1941329389,8824537,1558775,1320028097,56659
     4.501485872,6298430,2015308500,7405666,1588174,1323803936,51277
     5.001646854,6220714,2025397064,7360686,1612814,1321672429,50224
     5.501804428,6342310,2004560759,7527936,1625813,1319805562,51924
     6.001980814,6394502,1977923091,7957107,1594217,1312334842,57201
     6.502124657,6484378,2018174666,7781509,1641222,1318398705,54194
     7.002277814,6218111,2017970513,7585257,1632342,1318936915,51915
     7.502424616,6232135,2022182029,7271077,1593729,1320799813,45974
     8.002575582,6561554,1991250916,8366378,1651892,1328593822,69172
     8.502727379,6272598,2010344684,7765885,1606980,1322038826,49517
     9.002901320,6482412,1998424494,7915131,1606683,1329956835,54224
     9.503071352,6256486,2038313764,7437595,1614270,1326269859,50162
    10.003272549,6527225,1981323019,8492176,1575346,1318753404,56836
    10.503430758,6116348,2040322741,7435951,1605762,1326563657,51713
    11.003583983,6149732,2043156490,7242407,1631221,1325010159,49052
    11.503739394,6187628,2035593314,7706381,1640622,1326563042,45807
    12.003898729,6315463,2021734491,8080911,1617097,1326273470,62245
    12.504056044,6470111,2019259235,7844785,1614826,1328026159,55609
    13.004200965,6326319,2036207597,7191272,1631909,1326727305,49497
    13.504370308,6361887,2014700980,7563746,1572178,1324671139,45956
    14.004526585,6336611,2010290248,7895348,1604425,1326859592,62796
    14.504670443,6340065,2045196339,7642907,1629291,1327786415,53161
    15.004846109,6335836,2042106419,7289965,1584343,1324422815,44828
    15.504993341,6429939,2003564358,7780660,1591737,1332825173,60169
    16.005161428,6570504,1913237627,8145963,1580507,1327791557,62536
    16.505338666,6387521,1951053224,7658282,1578485,1329093306,54647
    17.005517851,6363358,1898179007,8113103,1541800,1318898766,55345
    17.505666406,6180142,2034019453,7462925,1645706,1327923187,49905
    18.005842360,6184248,2005873433,8002894,1654520,1325045117,59167
    18.505991618,6208048,2028188129,7626008,1627055,1327073829,48897
    19.006167018,6235193,2022216482,7277134,1644898,1321922363,49464
    19.506315130,6067596,2013364558,7212859,1620465,1317501414,48864
    20.006474464,6510583,1980328183,8427100,1581580,1320264803,64159
    20.506626550,6264429,2022004527,7422477,1617893,1319049822,53230
    21.006766022,6262141,2031082731,7549690,1636788,1328001895,50647
    21.506924377,6369967,2023683055,7606581,1597043,1327080592,47193
    22.007079046,6504294,2014806901,8030688,1628672,1326767633,62934
    22.507243498,6411158,2031614284,8023430,1644634,1329024419,52869
    23.007424027,6360235,2015191053,7621580,1611436,1324159447,47210
    23.507583296,6390315,2043598276,7476234,1623823,1328271029,49781
    24.007732662,6576231,1979076427,8304267,1581937,1325203746,63153
    24.507909549,6302461,2033818637,7386233,1586867,1323939443,49982
    25.008065598,6138744,2053022274,7158650,1634713,1328220816,50415
    25.508222599,6460303,2044007548,7879429,1637316,1326495110,49205
    26.008380723,6510753,1994762879,7996117,1618720,1325727342,65511
    26.508536661,6062833,2041031783,7545967,1613728,1327679736,50559
    27.008687206,6131981,2040800312,7359302,1593328,1324750901,47516
    27.508832954,6412314,2040285875,7649655,1634394,1326882382,54304
    28.009003932,6450326,1980087206,8336444,1596753,1312745972,56212
    28.509165499,6239834,2017487405,7479602,1595519,1326817616,54384
    29.009313332,6125281,2043998334,6991174,1632217,1326571937,49428
    29.509494167,6189553,2027797805,7369555,1593795,1319065263,42752
    30.009644456,6323180,1996179033,8004485,1622633,1318456203,61156
    30.509811856,6228000,2014181143,7522595,1616355,1318192513,49773
    31.009976734,6199575,2046218819,7420923,1612583,1326194173,49939
    31.510155754,6399995,2036367511,7799959,1636930,1326173676,49748
    32.010318763,6357801,2036581811,7416425,1628665,1324978844,62103
    32.510492879,6222733,2029904606,7558145,1606807,1322500839,49118
    33.010652977,6281553,2041685952,7219064,1655246,1325091565,49720
    33.510818563,6081471,2039432539,7235892,1593232,1327215972,48132
    34.010983172,6240870,2027455365,7715197,1627354,1327820296,63333
    34.511147388,6390748,2019803605,7707291,1609417,1322823985,47448
    35.011310765,6309719,2013448267,7724386,1629098,1323798523,51830
    35.511465016,6067337,2051491071,7291986,1642433,1326949130,48488
    36.011648789,6647008,1997160432,8357051,1613484,1327723017,59324
    36.511823139,6355648,2021669998,7715935,1633905,1327165600,55826
    37.011977599,6288021,2044237117,7355102,1632497,1327631398,52476
    37.512163409,6359013,2027955218,8006813,1624870,1326283843,50214
    38.012352281,6479687,2012570315,7855591,1599221,1326224158,55596
    38.512519090,6382097,2014634344,7910547,1615541,1328968006,52843
    39.012686266,6310564,2034527044,7227187,1601473,1327350014,48807
    39.512862670,6347278,2039773922,7780649,1628321,1322523279,43261
    40.013045070,6756677,1957441347,8962970,1599905,1325301160,59785
    40.513213802,6393523,2027944185,8016076,1612822,1326897452,53703
    41.013368938,6211127,2032934889,7452493,1597562,1324934151,49673
    41.513551310,6208402,2016885217,7635736,1604440,1327016997,48863
