Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     0.160137193,2522191,1020989267,2256522,2675738,1219273746,51083
     0.320380755,2465454,788414454,2297371,488538,422726741,20619
     0.480533774,2508878,771301591,2731637,494595,426788591,23609
     0.640694548,2744477,746910837,3234163,463830,428075570,28427
     0.800854746,2479919,802865834,2407218,502225,427697931,25030
     0.961020411,2429743,801265754,2338266,507263,424904180,22543
     1.121185402,2411540,805321011,2324257,492192,426755546,21245
     1.281343252,2359956,799387461,2261681,486950,427108363,21988
     1.441525327,2428097,796249588,2406910,503093,425721989,20457
     1.601682689,2495987,806249205,2365681,503389,428578174,29327
     1.761831062,2486079,807746527,2232329,502815,426278998,20851
     1.922026013,2347979,801534163,2211656,499119,427437113,26147
     2.082184651,2415716,789878467,2292644,479159,422254434,24137
     2.242333693,2295116,797548597,2203422,509226,428602641,25295
     2.402512482,2387712,804706180,2217746,495103,426932466,20333
     2.562621186,2445851,788968967,2402251,486324,425808658,32982
     2.722791386,2389792,810982050,2186248,493799,426658106,22185
     2.882963654,2468294,804643727,2459375,508433,429757359,30067
     3.043136861,2486959,782015977,2335175,486444,421754979,23292
     3.203313696,2415553,801445898,2230520,499977,426482359,20581
     3.363491307,2495260,810020392,2206989,498956,428383243,20837
     3.523651656,2404731,798438124,2209434,480589,428984890,25315
     3.683823564,2438964,802264357,2480473,497162,428831219,27119
     3.843987935,2375593,813687160,2341402,491544,425940132,18786
     4.004152863,2351078,806391786,2191364,491094,426115235,23090
     4.164292303,2371249,806802648,2187304,497004,428323234,19845
     4.324451927,2413608,796583833,2385457,504273,424769315,23617
     4.484613269,2528299,775746950,2698876,482245,426748228,29046
     4.644781634,2518373,765628078,2801050,486546,425946962,29822
     4.804934943,2596737,796426473,2288816,489815,425917353,20909
     4.965101382,2453089,787486493,2465634,495370,426392465,25028
     5.125265141,2348568,800226598,2108769,494711,427964276,20852
     5.285436068,2414722,785937422,2528047,514264,421408025,24253
     5.445595759,2483834,797740039,2311850,510402,427365890,26086
     5.605759836,2370779,814231234,2275508,493870,427544830,23946
     5.765922528,2482157,808123096,2214967,497313,427510364,19727
     5.926084870,2405247,795367678,2332431,507160,427375832,22798
     6.086274667,2412594,789749605,2239058,493654,421223054,25433
