Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     1.500215234,67928528,10227584912,49179337,11044320,10013155161,1508989
     3.000558822,63435077,11046750663,47123549,8200566,10305210557,964132
     4.500835085,65188059,10935321469,46346672,7977136,10272209840,940094
     6.001114120,65727715,11054526329,45437255,8138224,10435270912,960046
     7.501378932,64880143,11111102782,45246720,8182991,10453904262,886704
     9.001658008,65668735,11132939134,46676981,8060135,10414558207,869869
    10.501937582,63893598,11152202624,45729483,8109171,10419500548,951053
    12.002228285,65127496,11131727184,46061579,8137083,10451216148,925123
    13.502504610,65622644,11158051129,45494889,8180460,10455523779,954692
    15.002789053,64821323,10942819308,47725833,8133871,10317083474,954657
    16.503067566,63646518,10846230852,48204873,8038173,10209652135,931696
    18.003407008,62270871,10226157926,50695951,8110333,9796657833,1057262
    19.503693905,64748541,11008624570,44985791,7849840,10462833290,988697
    21.003973676,63443160,11187725735,45348053,7922188,10481768834,960807
    22.504261588,64632688,10956469266,45893382,7905097,10379565928,958503
    24.004552026,64948682,10967399721,46646343,7987482,10420216470,978941
    25.504851357,63743547,11233722810,44940536,8156639,10482215980,988132
    27.005138774,64889935,11036832568,47904548,8101025,10341742057,969793
    28.510209321,68080897,10980965059,46902665,8238048,10446871444,976752
    30.010486354,64177815,11157650887,45750943,7944427,10455669497,986216
    31.510782273,64625807,11228525681,45690197,7872241,10548311869,960129
    33.011074799,64307095,11079501172,47671832,8028924,10404866414,978896
    34.511376712,66775677,10967173313,47616215,8371519,10378662475,995221
    36.011655382,67816563,11054582176,46589534,8137005,10450476330,970264
    37.511945742,66220828,10950771610,46323571,7984442,10418950530,941559
    39.012224406,65309942,10810590388,48319700,8340348,10324420393,994059
    40.512501690,65459238,10877560125,48300899,8104160,10287899693,967980
    42.014912207,65776042,11069103689,47411731,8238193,10503760795,1010859
    43.515204958,65854728,11038236751,46312431,8163861,10423130347,983142
    45.016954988,66596225,11037318688,46879777,8296283,10403132493,967401
    46.517241953,65932300,10981012694,47279166,8214995,10406821094,933372
    48.017536610,65648857,11042874107,46470310,8272984,10422695408,997370
    49.517826639,64433920,10951475057,46185115,8084670,10393816359,939271
    51.018134386,62926068,10864520243,48125143,7977335,10230157904,945073
    52.520451734,63277963,10685233758,46060466,7901869,10133507428,969006
    54.020736055,66429315,11191814949,48210370,8367631,10520519483,1012773
    55.521027094,66542206,11302111981,47689729,8134718,10616616304,980309
    57.021335041,66967743,11300373898,45768303,8263647,10558885527,964889
    58.521619183,67672000,11187724689,47515665,8277299,10541285068,969054
    60.021968476,67076940,11326890785,47208725,8045360,10626353382,969947
    61.522248482,66788550,11343177769,45334396,8123001,10712091276,984095
    63.022557443,68328572,11246477977,46711650,8447291,10691183492,1004937
    64.522852867,67264852,11240033011,46614480,8203509,10735391474,929591
    66.027289553,66582683,11427167748,46052705,8325278,10722131461,1008717
    67.527692133,65191023,11236336056,46416950,8312038,10664698257,976560
    69.028053536,64372644,11302905071,45163529,8205435,10650202567,920759
    70.528339760,67646538,11263491011,47288444,8306739,10694016465,950026
    72.028628456,66577646,11321351060,45850632,8343597,10684253177,995283
    73.528913144,64667944,11320197094,45254265,8012482,10643476102,885060
    75.029194787,66046378,11198314681,47790374,8247887,10564016380,1009424
    76.529447490,64891655,11188454727,47771068,8247730,10518827060,996756
    78.029741192,65810226,11392852397,45671957,8328870,10712412788,974031
    79.530040144,66758727,11282014231,46945209,8124219,10661765011,936342
    81.030328531,65039807,11218859792,46327303,8155716,10607185274,960215
    82.530606623,63856754,11333028241,46865796,8027097,10517772974,958140
    84.030891225,66031714,11326370876,46747321,8278569,10667679357,938767
    85.531188399,65669693,11373424710,45588905,8336993,10630314561,959422
    87.031494449,66285979,11642685737,45194014,8195459,10743391758,1019921
    88.531791229,66776980,11633356048,45322543,8272168,10782374047,997247
    90.032073466,68047091,11697300870,45223959,8134110,10875792296,954556
    91.532373124,65111848,10991282568,47618395,8007240,10390292657,975998
    93.035712303,67415299,11310343928,47563178,8147123,10632893783,971480
    94.536016244,63815067,11106165342,46069815,7897488,10386217045,953604
    96.036287433,65683318,11381032152,46272204,8242439,10551552031,968509
    97.536562127,65596636,11216434664,47773838,8291430,10569675804,917038
    99.036845882,66035904,11275552533,47614136,8273526,10610219711,988799
   100.537143650,65417209,11366737234,46341751,8237742,10571969545,992725
   102.037443935,66423002,11508793963,46144433,8363052,10766881037,976342
   103.537727288,65475806,11402089641,46684825,8314385,10663972996,965052
   105.038013227,65959139,11310943280,47358486,8239608,10565261315,1000007
   106.538289991,65894090,11632687700,45313818,8107640,10717187769,922984
   108.043614526,65918467,11504528078,46431102,8248135,10722710811,971558
   109.543936471,65642801,11373621672,47063354,8275400,10661759909,932844
   111.044252228,66033441,11165965310,46394931,8253477,10532886793,1002957
   112.544538510,64914475,11177794876,45857843,8043602,10396665712,915240
   114.047348491,65159315,11350809093,45176621,8049978,10629236817,973969
   115.547632448,69132431,11261880218,48537012,8279769,10726315597,904156
   117.047921739,66230763,11094730705,48176596,8146343,10509722126,1008080
   118.550256008,66255712,11256680259,46415585,8133842,10580265466,1004105
   120.050551264,64138988,10768415994,46981514,7843718,10158729016,980722
   121.550917424,67366201,11274735609,47677778,8255699,10636487647,959783
   123.051285227,65475360,11158685673,48060303,8146713,10538192981,974927
   124.551573302,66212050,11157861452,48368915,8224877,10618426737,987932
   126.051844824,65372769,11253471709,46442953,8184335,10649696248,997995
   127.552130334,65691779,11338694424,46907931,8038007,10665257931,952430
   129.054503631,65793283,11215302497,46976059,8161280,10622957882,1018438
   130.554799148,65191952,11300403172,46756398,8111451,10583095839,983784
   132.055087306,67618799,11349971507,46941335,8309356,10731063856,975011
   133.555390201,65799885,11267764174,46413405,8315995,10726964486,975150
   135.055750358,66659382,11234652937,47578988,8212291,10563919488,1016076
   136.556040746,66316211,11489029751,47283387,8328695,10816942794,1012818
   138.056315707,67125527,11547797027,48150690,8420366,10845788365,1003018
   139.556591995,67051435,11528721801,48041305,8440644,10840736164,991715
   141.056874115,67378713,11427372996,49008506,8485821,10824460361,1003075
   142.561416392,67944380,11442792441,48547478,8502385,10810527891,1003032
   144.061695716,66424244,11714898708,46573199,8345507,10842713780,973168
   145.561974899,67737100,11522814675,48305681,8334989,10807946851,1017919
   147.062255967,67913543,11396633882,49595882,8270344,10748139100,1007254
   148.562536258,68247073,11544661859,47720265,8130389,10849775339,978799
   150.062802961,67009743,11543954722,47722104,8314015,10890904194,1006459
   151.563073667,66957719,11543869470,47802500,8359219,10889605584,984485
   153.063357084,68367067,11339261119,48167811,8392079,10778596544,1010715
   154.563644415,66159563,11449796278,47735690,8318150,10740774340,1035409
   156.063953655,66149898,11653861360,45960859,8300536,10856121318,1009662
   157.564243923,64774232,11521662536,46782474,8383238,10730619401,1016136
   159.070022677,67607523,11458981050,48968577,8517605,10838581955,1015433
   160.570302121,67830048,11361745581,48611626,8394068,10772184731,979654
   162.070581233,65505852,11730532633,44728649,8252067,10923715946,970117
   163.570855336,65213229,11588652805,46246501,8275720,10780960356,984500
   165.071144457,66581403,11388185706,47724427,8290149,10752320274,952624
   166.571443460,66703042,11264663900,47380614,8269135,10670086376,995534
   168.071723309,68791550,11540479382,45760239,8386199,10888111532,1017331
   169.572002415,65566005,11497473448,48755144,8221428,10814141571,964524
   171.072368089,65152206,11456724969,47538722,8171385,10769036375,1012206
   172.572646227,67583921,11533075715,48623361,8241229,10845667976,974076
   174.072927503,68209181,11582961659,46473828,8226287,10891598675,973418
   175.573208431,67715253,11378551509,47522456,8363621,10822041309,989923
   177.075510357,66163847,11506145719,47828161,8390746,10838468430,991570
   178.575791853,65119590,11558010309,46868060,8257965,10758319626,989792
   180.076080156,65039902,11535627928,46309316,8267918,10722701041,1006059
   181.576351846,66135267,11503267200,46989155,8268715,10757524022,976987
   183.076635566,65368106,11539586451,47733333,8290244,10775613827,1012194
   184.576913755,65543958,11522071342,46515192,8328283,10820802502,1002202
   186.077198152,64878164,11456873118,45576015,8055083,10708532867,1026660
   187.582261958,64805815,11416696235,48126485,8255202,10626763256,1021719
   189.082557900,67635467,11360531344,49035407,8408609,10698003876,1034813
   190.582926157,66634844,11126213798,49686757,8210198,10542506239,1028906
   192.083211759,64350562,11636393535,46151477,8369988,10866117649,1009756
   193.583507022,65421782,11519740807,46514892,8153427,10684723094,985381
   195.083784344,67451077,11351115764,48221431,8360135,10619633107,1062940
   196.584047403,65696421,11223218332,48355231,7943963,10431716287,998025
   198.084336365,63972677,10887013893,48719568,9043895,10147785398,1059028
   199.584621016,66581523,11122058052,47877072,8713670,10673811564,1001311
   201.084877630,65279650,11201300102,49121533,8585800,10590637570,1031559
   202.585182778,67449353,11129011127,48672247,9510887,10598959770,1060549
   204.085465259,66067967,11350246585,47949488,11277748,10871576177,980863
   205.585722110,67012501,11147440035,47257644,11328986,10744753585,972883
